context_id,seed,split_group,terrain,beta_index,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,status,success,m4_interventions,feasible,infeasible_reason,raw_log_relpath,source_stage,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m
rough_seed_1,1,val,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0000.jsonl,T6.12e_heldout,38,5,7.6,1.671719375301831,214.64864488186322,0.010845595200321637,0.08876544534289661,0.02965512312280757,0.16380440713993805,0.07714666343709771,0.0069032336199603694,0.0014533123410445515,4.546217572328975,0.339059025649811,0.07714666343709771,0.339059025649811,attitude,128.39992647875374
rough_seed_21,21,val,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0001.jsonl,T6.12e_heldout,40,5,8.0,1.6664249001801585,210.81873216265257,0.009601674481190973,0.06691430263772899,0.02124418077396976,0.12471342011427944,0.07363128491621139,0.007709497206704763,0.0006703910614526139,4.800696388499184,0.2555938086801989,0.07363128491621139,0.2555938086801989,attitude,126.50959076515286
rough_seed_16,16,val,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0002.jsonl,T6.12e_heldout,38,5,7.6,1.6946522042362155,214.35795986371693,0.0063892708890539345,0.060764150308555025,0.015500372343914399,0.1296218747397868,0.07096056372853451,0.0030906168871312665,0.000370874026455775,4.484696022583194,0.23210195722525082,0.07096056372853451,0.23210195722525082,attitude,126.49082763287625
rough_seed_14,14,val,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0003.jsonl,T6.12e_heldout,38,5,7.6,1.6871582044058961,220.074304488635,0.008219366795626635,0.07045600607637799,0.019241271387383456,0.1488451073769681,0.08153679392992053,0.007226303745635401,0.0009635071660846899,4.50461609359047,0.26912211930163615,0.08153679392992053,0.26912211930163615,attitude,130.44082286647824
rough_seed_27,27,test,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0004.jsonl,T6.12e_heldout,38,5,7.6,1.6951856449563982,227.3093568372602,0.010599822929761258,0.10620836418382451,0.02573318570290195,0.21615680446770025,0.09796314258003679,0.009456838021340338,0.0030310378273527695,4.483284779228695,0.4056860677814373,0.09796314258003679,0.4056860677814373,attitude,134.09112890588855
rough_seed_2,2,test,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0005.jsonl,T6.12e_heldout,41,5,8.200000000000001,1.6820725782620025,232.48556573440754,0.012390055828380238,0.09605093412657556,0.03382583549831193,0.2103376054530912,0.07427925381572918,0.009270774448843824,0.001808931599774553,4.874938279103647,0.3668875429161245,0.07427925381572918,0.3668875429161245,attitude,138.21375411435736
rough_seed_3,3,test,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0006.jsonl,T6.12e_heldout,37,5,7.4,1.6715751450589917,208.29446688790205,0.006538655684476092,0.08076197502541238,0.014453724202544128,0.11415225911533877,0.06759443339961578,0.005715705765408496,0.0008697813121273798,4.4269622109862405,0.30848802093980593,0.06759443339961578,0.30848802093980593,attitude,124.60969373922529
rough_seed_19,19,test,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0007.jsonl,T6.12e_heldout,37,5,7.4,1.6530251363883202,226.33075899373716,0.008820200894739009,0.09684814557619537,0.016048123560698374,0.16596073529745192,0.08176492583823264,0.006606007727783966,0.0004985666209648161,4.476640939754972,0.36993266634563926,0.08176492583823264,0.36993266634563926,attitude,136.9191272482675
rough_seed_26,26,test,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0008.jsonl,T6.12e_heldout,38,5,7.6,1.6783919079892564,202.25724882953668,0.005930810514912727,0.06288282632642772,0.019667573031671947,0.13832351021569322,0.06545153272577932,0.0024855012427511996,0.00011835720203577391,4.528143852352658,0.24019470349056343,0.06545153272577932,0.24019470349056343,attitude,120.5065681422669
rough_seed_9,9,hard,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,m4,0,1,0,status_not_success+m4_intervention,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0009.jsonl,T6.12e_heldout,7,,1.3499999999999628,0.2872495573429057,55.568373490028925,,,,,,,,,,,,,
